x,y,z
-7.732051849365234375e+01,6.721887207031250000e+01,8.348978757858276367e-01
-7.732051849365234375e+01,6.731921386718750000e+01,8.012054562568664551e-01
-7.732051849365234375e+01,6.741956329345703125e+01,7.679575085639953613e-01
-7.732051849365234375e+01,6.751990509033203125e+01,7.351750731468200684e-01
-7.732051849365234375e+01,6.762025451660156250e+01,7.028791308403015137e-01
-7.732051849365234375e+01,6.772059631347656250e+01,6.710901260375976562e-01
-7.732051849365234375e+01,6.782094573974609375e+01,6.398282647132873535e-01
-7.732051849365234375e+01,6.792129516601562500e+01,6.091135144233703613e-01
-7.732051849365234375e+01,6.802163696289062500e+01,5.789654254913330078e-01
-7.732051849365234375e+01,6.812197875976562500e+01,5.494030117988586426e-01
-7.732051849365234375e+01,6.822232818603515625e+01,5.204452276229858398e-01
-7.732051849365234375e+01,6.832267761230468750e+01,4.921104609966278076e-01
-7.732051849365234375e+01,6.842301940917968750e+01,4.644166827201843262e-01
-7.732051849365234375e+01,6.852336883544921875e+01,4.373815357685089111e-01
-7.732051849365234375e+01,6.862371063232421875e+01,4.110222160816192627e-01
-7.732051849365234375e+01,6.872406005859375000e+01,3.853555023670196533e-01
-7.732051849365234375e+01,6.882440185546875000e+01,3.603976964950561523e-01
-7.732051849365234375e+01,6.892475128173828125e+01,3.361646533012390137e-01
-7.732051849365234375e+01,6.902510070800781250e+01,3.126718401908874512e-01
-7.732051849365234375e+01,6.912544250488281250e+01,2.899341583251953125e-01
-7.732051849365234375e+01,6.922579193115234375e+01,2.679660618305206299e-01
-7.732051849365234375e+01,6.932613372802734375e+01,2.467815577983856201e-01
-7.732051849365234375e+01,6.942648315429687500e+01,2.263940870761871338e-01
-7.732051849365234375e+01,6.952682495117187500e+01,2.068166434764862061e-01
-7.732051849365234375e+01,6.962717437744140625e+01,1.880616545677185059e-01
-7.732051849365234375e+01,6.972752380371093750e+01,1.701410561800003052e-01
-7.732051849365234375e+01,6.982786560058593750e+01,1.530662626028060913e-01
-7.732051849365234375e+01,6.992820739746093750e+01,1.368481069803237915e-01
-7.732051849365234375e+01,7.002855682373046875e+01,1.214969158172607422e-01
-7.732051849365234375e+01,7.012890625000000000e+01,1.070224493741989136e-01
-7.732051849365234375e+01,7.022924804687500000e+01,9.343392401933670044e-02
-7.732051849365234375e+01,7.032959747314453125e+01,8.073996752500534058e-02
-7.732051849365234375e+01,7.042993927001953125e+01,6.894866377115249634e-02
-7.732051849365234375e+01,7.053028869628906250e+01,5.806751176714897156e-02
-7.732051849365234375e+01,7.063063049316406250e+01,4.810342565178871155e-02
-7.732051849365234375e+01,7.073097991943359375e+01,3.906274586915969849e-02
-7.732051849365234375e+01,7.083132934570312500e+01,3.095122054219245911e-02
